timeStamp,type,description
1674665261,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 24 evLeopStepOut step: 7 
1674665261,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 23 evLeopStepOut step: 6 
1674665261,NORMAL, Function END ID: 5 ANTENNA_START 
1674665253,NORMAL, Function START ID: 5 ANTENNA_START 
1674665253,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 22 evLeopStepOut step: 5 
1674665243,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 21 evLeopStepOut step: 4 
1674665243,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674665236,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674665236,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 20 evLeopStepOut step: 3 
1674665176,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 19 evLeopStepOut step: 11 
1674665166,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 18 evLeopStepOut step: 10 
1674665106,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 17 evLeopStepOut step: 9 
1674665106,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 5 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665046,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 16 evLeopStepOut step: 8 
1674665046,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 4 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665042,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 15 evLeopStepOut step: 7 
1674665041,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 14 evLeopStepOut step: 6 
1674665041,NORMAL, Function END ID: 5 ANTENNA_START 
1674665034,NORMAL, Function START ID: 5 ANTENNA_START 
1674665034,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 13 evLeopStepOut step: 5 
1674665024,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 12 evLeopStepOut step: 4 
1674665024,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674665016,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674665016,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 11 evLeopStepOut step: 3 
1674664956,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 10 evLeopStepOut step: 11 
1674664946,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 9 evLeopStepOut step: 10 
1674664886,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 8 evLeopStepOut step: 9 
1674664886,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 3 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664826,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 7 evLeopStepOut step: 8 
1674664826,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 2 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664822,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 6 evLeopStepOut step: 7 
1674664822,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 5 evLeopStepOut step: 6 
1674664822,NORMAL, Function END ID: 5 ANTENNA_START 
1674664814,NORMAL, Function START ID: 5 ANTENNA_START 
1674664814,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 4 evLeopStepOut step: 5 
1674664804,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 3 evLeopStepOut step: 4 
1674664804,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674664797,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674664797,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 2 evLeopStepOut step: 3 
1674664797,MEDIUM, Function ABORT ID: 21 ANTENNA_DEPLOY 
1674664797,HIGH,evAntennaBackupNotAuthorizedOut packetId: 0xFB31 evAntennaBackupNotAuthorizedOut sequenceId: 0 
1674664796,NORMAL, Function START ID: 21 ANTENNA_DEPLOY 
1674664796,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 1 evLeopStepOut step: 2 
1674664796,NORMAL, Function END ID: 5 ANTENNA_START 
1674664789,NORMAL, Function START ID: 5 ANTENNA_START 
1674664789,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 0 evLeopStepOut step: 1 
1674664607,NORMAL, Function END ID: 26 MISSION_MODE_LEOP 
1674664606,NORMAL, Function END ID: 9 OBC_START 
1674664606,NORMAL, Function END ID: 1 EPS_START 
1674664599,NORMAL, Function START ID: 3 RADIO_START 
1674664599,NORMAL, Function START ID: 1 EPS_START 
1674664599,NORMAL, Function START ID: 9 OBC_START 
1674664598,NORMAL, Function START ID: 26 MISSION_MODE_LEOP 
1674664598,NORMAL, Function START ID: 23 MISSION_LEOP 
1674664533,NORMAL, Function END ID: 22 MISSION_INIT 
1674664533,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674664533,NORMAL, Function START ID: 22 MISSION_INIT 
1674664459,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 25 evLeopStepOut step: 8 
