timeStamp,latitude,longitude,altitude
1681947540,-24.819433,167.631241,511.888641
1681947360,-36.112133,170.368073,514.542114
1681947180,-47.336227,173.773697,517.273376
1681947000,-58.441170,178.615967,519.564758
1681946820,-69.275543,-172.793365,520.934570
1681946640,-79.072823,-149.943283,521.015503
1681946460,-81.943199,-77.439590,519.615723
1681946280,-73.684319,-36.798206,516.754456
1681946100,-63.085461,-24.574867,512.667419
1681945920,-52.034760,-18.600460,507.780121
1681945740,-40.813248,-14.719660,502.653107
1681945560,-29.498882,-11.750960,497.904236
1681945380,-18.126375,-9.229814,494.119263
1681945200,-6.719269,-6.924932,491.764221
1681945020,4.701549,-4.691088,491.113922
1681944840,16.115562,-2.407618,492.209961
1681944660,27.501879,0.063165,494.856232
1681944480,38.837437,2.931149,498.652466
1681944300,50.090206,6.602239,503.059662
1681944120,61.193924,12.064827,507.484894
1681943940,71.930420,22.575428,511.371155
1681943760,80.995338,54.724537,514.277710
1681943580,80.393105,130.808838,515.939819
1681943400,71.031731,159.323471,516.300598
1681943220,60.265491,169.099716,515.510986
1681943040,49.176487,174.330780,513.899170
1681942860,37.956070,177.903305,511.912903
1681942680,26.663679,-179.278259,510.043396
1681942500,15.327995,-176.834534,508.741333
1681942320,3.969391,-174.565826,508.338959
1681942140,-7.393848,-172.338608,508.991150
1681941960,-18.743805,-170.033478,510.646576
1681941780,-30.062038,-167.504166,513.054077
1681941600,-41.327053,-164.514709,515.803589
1681941420,-52.505245,-160.586700,518.393250
1681941240,-63.517059,-154.490814,520.311768
1681941060,-74.065758,-141.837860,521.121521
1681940880,-82.102837,-99.102737,520.530212
1681940700,-78.757179,-27.935543,518.441223
1681940520,-68.866394,-6.117567,514.975220
1681940340,-57.991310,2.246561,510.460907
1681940160,-46.845852,7.012458,505.394531
1681939980,-35.575500,10.385950,500.373596
1681939800,-24.230892,13.108789,496.012115
1681939620,-12.839721,15.508056,492.850281
1681939440,-1.423783,17.764446,491.272461
1681939260,9.996335,20.006216,491.448059
1681939080,21.400040,22.356705,493.306427
1681938900,32.765835,24.977966,496.550201
1681938720,44.067928,28.147211,500.704987
1681938540,55.263889,32.459030,505.195496
1681938360,66.245392,39.554588,509.434509
1681938180,76.555443,55.985588,512.909973
1681938000,82.623466,114.603180,515.257019
1681937820,76.419662,172.293961,516.305359
1681937640,66.106941,-171.542267,516.096497
1681937460,55.147800,-164.514633,514.869324
1681937280,43.986515,-160.229218,513.016296
1681937100,32.728146,-157.073593,511.015778
1681936920,21.412884,-154.461151,509.350922
1681936740,10.064232,-152.117783,508.426636
1681936560,-1.298782,-149.883118,508.498962
1681936380,-12.658147,-147.635223,509.628967
1681936200,-23.995848,-145.247803,511.669983
1681936020,-35.292561,-142.543777,514.290405
1681935840,-46.523048,-139.204498,517.028259
1681935660,-57.639828,-134.512833,519.366760
1681935480,-68.505203,-126.359985,520.818848
1681935300,-78.453453,-105.481590,521.006409
1681935120,-82.237152,-35.784733,519.723328
1681934940,-74.413361,9.048968,516.972534
1681934760,-63.876808,22.142675,512.974243
1681934580,-52.844608,28.363054,508.141174
1681934400,-41.631927,32.341530,503.026001
1681934220,-30.322926,35.356411,498.244751
1681934040,-18.953867,37.900654,494.387939
1681933860,-7.548691,40.215752,491.932281
1681933680,3.871642,42.450619,491.167755
1681933500,15.286621,44.726265,492.152924
1681933320,26.675421,47.177639,494.707733
1681933140,38.015282,50.006554,498.444580
1681932960,49.275311,53.596996,502.831512
1681932780,60.393623,58.867222,507.276398
1681932600,71.173630,68.763107,511.216644
1681932420,80.498146,97.860893,514.200867
1681932240,80.899460,174.033020,515.950378
1681932060,71.789284,-154.472839,516.392944
1681931880,61.065456,-144.094025,515.665466
1681931700,49.990669,-138.673187,514.085388
1681931520,38.777298,-135.020813,512.094604
1681931340,27.489084,-132.163589,510.184601
1681931160,16.155840,-129.700546,508.812408
1681930980,4.798248,-127.424004,508.321869
1681930800,-6.565338,-125.197731,508.882782
1681930620,-17.916994,-122.902626,510.459595
1681930440,-29.238359,-120.395988,512.815186
1681930260,-40.508327,-117.451767,515.549500
1681930080,-51.694794,-113.618942,518.164795
1681929900,-62.724121,-107.760582,520.147827
1681929720,-73.331459,-95.934494,521.052856
1681929540,-81.772820,-57.250156,520.575012
1681929360,-79.364929,16.366653,518.602051
1681929180,-69.637184,40.285866,515.238464
1681929000,-58.795002,49.108791,510.798279
1681928820,-47.662144,54.030537,505.767151
1681928640,-36.398689,57.472206,500.737335
1681928460,-25.058477,60.228626,496.324036
1681928280,-13.670033,62.644302,493.075165
1681928100,-2.255355,64.906433,491.388123
1681927920,9.164949,67.145248,491.448700
1681927740,20.570312,69.483086,493.203156
1681927560,31.939375,72.077286,496.368958
1681927380,43.246918,75.192329,500.481903
1681927200,54.452599,79.386253,504.970978
1681927020,65.456848,86.167130,509.246735
1681926840,75.856766,101.361099,512.789001
1681926660,82.586647,155.417023,515.220337
1681926480,77.105942,-142.487762,516.355530
1681926300,66.892654,-124.962799,516.221130
1681926120,55.957523,-117.598526,515.043274
1681925940,44.806179,-113.189011,513.205627
1681925760,33.553291,-109.976746,511.183502
1681925580,22.241343,-107.336014,509.463196
1681925400,10.894457,-104.979218,508.458588
1681925220,-0.468177,-102.740913,508.439148
1681925040,-11.828515,-100.497978,509.481628
1681924860,-23.168564,-98.125763,511.454681
1681924680,-34.469173,-95.453064,514.039185
1681924500,-45.705849,-92.176926,516.780579
1681924320,-56.833889,-87.626808,519.163391
1681924140,-67.727806,-79.875755,520.695740
1681923960,-77.807396,-60.744740,520.989014
1681923780,-82.453461,5.467844,519.822754
1681923600,-75.135597,54.756413,517.183838
1681923420,-64.669281,68.827065,513.276550
1681923240,-53.656986,75.314484,508.500732
1681923060,-42.453564,79.397087,503.400604
1681922880,-31.150124,82.460785,498.589874
1681922700,-19.784645,85.029434,494.663422
1681922520,-8.381511,87.355560,492.108398
1681922340,3.038230,89.592087,491.229553
1681922160,14.454074,91.860573,492.102570
1681921980,25.845255,94.293488,494.563721
1681921800,37.189281,97.085091,498.238281
1681921620,48.456306,100.598984,502.601990
1681921440,59.588406,105.689293,507.063873
1681921260,70.407982,115.026215,511.056274
1681921080,79.955353,141.404373,514.117371
1681920900,81.358444,-143.208054,515.954529
1681920720,72.543755,-108.361221,516.480225
1681920540,61.867126,-97.312653,515.817139
1681920360,50.807560,-91.686966,514.271484
1681920180,39.601574,-87.949692,512.278992
1681920000,28.317711,-85.051514,510.330902
1681919820,16.987032,-82.568016,508.890228
1681919640,5.630559,-80.282906,508.312012
1681919460,-5.733275,-78.056953,508.780945
1681919280,-17.086535,-75.771172,510.277313
1681919100,-28.410931,-73.286148,512.578430
1681918920,-39.685711,-70.385101,515.294434
1681918740,-50.880135,-66.642426,517.932434
1681918560,-61.925903,-61.005245,519.977478
1681918380,-72.585991,-49.925117,520.976257
1681918200,-81.374825,-14.964759,520.611450
1681918020,-79.944252,60.311134,518.755188
1681917840,-70.406700,86.621986,515.495789
1681917660,-59.600700,95.950996,511.132477
1681917480,-48.481213,101.040283,506.139740
1681917300,-37.224941,104.554291,501.104156
1681917120,-25.889278,107.346161,496.641724
1681916940,-14.503684,109.779282,493.307617
1681916760,-3.090374,112.047852,491.511963
1681916580,8.330011,114.284332,491.456879
1681916400,19.736933,116.610283,493.105652
1681916220,31.109152,119.178658,496.190857
1681916040,42.421963,122.242035,500.259033
1681915860,53.636940,126.324692,504.743805
1681915680,64.662361,132.814499,509.053955
1681915500,75.141853,146.904266,512.661560
1681915320,82.458168,-163.654816,515.176819
1681915140,77.777557,-97.500557,516.399780
1681914960,67.678543,-78.430763,516.341736
1681914780,56.769569,-70.698105,515.215637
1681914600,45.628742,-66.155724,513.396179
1681914420,34.381577,-62.883480,511.355133
1681914240,23.073084,-60.212887,509.581451
1681914060,11.728079,-57.841736,508.497650
1681913880,0.365929,-55.599140,508.386383
1681913700,-10.995285,-53.360527,509.340118
